Year,Executive oversight,Executive oversight CI (Low),Executive oversight CI (High),Legislative constraints on the executive index,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),Legislative electoral regime index,Legislative electoral regime index CI (Low),Legislative electoral regime index CI (High),Legislature controls resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),Legislature investigates in practice,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),Legislature opposition parties,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),Legislature questions officials in practice,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
2000,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2001,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2002,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2003,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2004,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2005,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2006,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2007,2.73,2.448,2.97,0.921,0.846,0.965,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,3.409,3.17,3.756,1.824,1.728,2,0.985,0.968,1
2008,2.666,2.403,2.91,0.848,0.722,0.927,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,2.973,2.667,3.255,1.498,1.291,1.732,0.985,0.968,1
2009,2.568,2.314,2.756,0.777,0.623,0.868,1,null,null,0.795,0.663,0.925,1.677,1.494,1.869,2.605,2.38,2.874,1.506,1.307,1.741,0.985,0.968,1
2010,2.568,2.314,2.756,0.806,0.692,0.891,1,null,null,0.798,0.697,0.938,1.677,1.494,1.869,2.605,2.38,2.874,1.624,1.441,1.804,0.985,0.968,1
2011,2.568,2.314,2.756,0.806,0.692,0.891,1,null,null,0.798,0.697,0.938,1.677,1.494,1.869,2.605,2.38,2.874,1.624,1.441,1.804,0.985,0.968,1
2012,2.568,2.314,2.756,0.806,0.692,0.891,1,null,null,0.798,0.697,0.938,1.677,1.494,1.869,2.605,2.38,2.874,1.624,1.441,1.804,0.985,0.968,1
2013,2.163,1.911,2.476,0.749,0.602,0.854,1,null,null,0.944,0.896,1,1.511,1.274,1.785,2.348,2.061,2.635,1.593,1.381,1.834,0.974,0.941,1
2014,2.163,1.911,2.476,0.749,0.602,0.854,1,null,null,0.944,0.896,1,1.511,1.274,1.785,2.348,2.061,2.635,1.593,1.381,1.834,0.974,0.941,1
2015,2.163,1.911,2.476,0.749,0.602,0.854,1,null,null,0.944,0.896,1,1.511,1.274,1.785,2.348,2.061,2.635,1.593,1.381,1.834,0.974,0.941,1
2016,2.629,2.332,2.875,0.837,0.735,0.918,1,null,null,0.945,0.896,1,1.512,1.277,1.792,3.001,2.707,3.337,1.516,1.29,1.74,0.973,0.94,1
2017,2.521,2.246,2.811,0.83,0.705,0.91,1,null,null,0.945,0.894,1,1.659,1.43,1.893,3.085,2.772,3.422,1.514,1.274,1.72,0.896,0.838,1
2018,2.679,2.415,2.988,0.843,0.759,0.912,1,null,null,0.58,0.424,0.776,2.099,1.682,2.531,3.216,2.829,3.561,1.48,1.25,1.752,0.97,0.935,1
